Epoch 1, Loss: 13.927423477172852, Accuracy: 84.97503662109375, Val Loss: 0.6084805130958557, Val Accuracy: 83.25425720214844
Epoch 2, Loss: 10.682188987731934, Accuracy: 85.23637390136719, Val Loss: 0.2242394983768463, Val Accuracy: 95.9577407836914
Epoch 3, Loss: 2.5243775844573975, Accuracy: 98.80072021484375, Val Loss: 0.09466641396284103, Val Accuracy: 99.1750259399414
Epoch 4, Loss: 2.0375373363494873, Accuracy: 99.25314331054688, Val Loss: 0.08811351656913757, Val Accuracy: 99.30947875976562
Epoch 5, Loss: 1.955610990524292, Accuracy: 99.34039306640625, Val Loss: 0.08583378046751022, Val Accuracy: 99.37531280517578
Epoch 6, Loss: 1.9172637462615967, Accuracy: 99.4004135131836, Val Loss: 0.0842638611793518, Val Accuracy: 99.42892456054688
Epoch 7, Loss: 1.887620210647583, Accuracy: 99.43978118896484, Val Loss: 0.0831497386097908, Val Accuracy: 99.45510864257812
Epoch 8, Loss: 1.8701064586639404, Accuracy: 99.4541015625, Val Loss: 0.08265762776136398, Val Accuracy: 99.46067810058594
Epoch 9, Loss: 1.8636585474014282, Accuracy: 99.45596313476562, Val Loss: 0.08248509466648102, Val Accuracy: 99.46192169189453
Epoch 10, Loss: 1.8611030578613281, Accuracy: 99.45677185058594, Val Loss: 0.08240003883838654, Val Accuracy: 99.46269989013672
Epoch 11, Loss: 1.8597450256347656, Accuracy: 99.45753479003906, Val Loss: 0.08235003054141998, Val Accuracy: 99.46327209472656
Epoch 12, Loss: 1.858886480331421, Accuracy: 99.45794677734375, Val Loss: 0.08231791853904724, Val Accuracy: 99.46376037597656
Epoch 13, Loss: 1.8582605123519897, Accuracy: 99.45834350585938, Val Loss: 0.08229220658540726, Val Accuracy: 99.46405029296875
Epoch 14, Loss: 1.8577678203582764, Accuracy: 99.4586181640625, Val Loss: 0.08226986974477768, Val Accuracy: 99.46435546875
Epoch 15, Loss: 1.8573837280273438, Accuracy: 99.45891571044922, Val Loss: 0.08225090801715851, Val Accuracy: 99.4645767211914
Epoch 16, Loss: 1.8570525646209717, Accuracy: 99.45907592773438, Val Loss: 0.08223344385623932, Val Accuracy: 99.46475982666016
Epoch 17, Loss: 1.856749176979065, Accuracy: 99.45926666259766, Val Loss: 0.08221672475337982, Val Accuracy: 99.46497344970703
Epoch 18, Loss: 1.8564903736114502, Accuracy: 99.45947265625, Val Loss: 0.08220265060663223, Val Accuracy: 99.46519470214844
Epoch 19, Loss: 1.8562761545181274, Accuracy: 99.45964813232422, Val Loss: 0.08219119906425476, Val Accuracy: 99.4653091430664
Epoch 20, Loss: 1.8560845851898193, Accuracy: 99.45985412597656, Val Loss: 0.08218009024858475, Val Accuracy: 99.46546936035156
Epoch 21, Loss: 1.855913519859314, Accuracy: 99.45999145507812, Val Loss: 0.08216980844736099, Val Accuracy: 99.46560668945312
Epoch 22, Loss: 1.8557497262954712, Accuracy: 99.46012878417969, Val Loss: 0.08216200768947601, Val Accuracy: 99.46571350097656
Epoch 23, Loss: 1.8555898666381836, Accuracy: 99.4603500366211, Val Loss: 0.08215190470218658, Val Accuracy: 99.46597290039062
Epoch 24, Loss: 1.8554273843765259, Accuracy: 99.46061706542969, Val Loss: 0.0821426659822464, Val Accuracy: 99.46614837646484
Epoch 25, Loss: 1.8552768230438232, Accuracy: 99.46070861816406, Val Loss: 0.08213581889867783, Val Accuracy: 99.46623992919922
Epoch 26, Loss: 1.8551437854766846, Accuracy: 99.46080780029297, Val Loss: 0.08213208615779877, Val Accuracy: 99.46635437011719
Epoch 27, Loss: 1.855031967163086, Accuracy: 99.46090698242188, Val Loss: 0.08212235569953918, Val Accuracy: 99.46647644042969
Epoch 28, Loss: 1.8549168109893799, Accuracy: 99.46099853515625, Val Loss: 0.08214275538921356, Val Accuracy: 99.46664428710938
Epoch 29, Loss: 1.8548462390899658, Accuracy: 99.46113586425781, Val Loss: 0.08211515098810196, Val Accuracy: 99.46672058105469
Epoch 30, Loss: 1.8547401428222656, Accuracy: 99.46121215820312, Val Loss: 0.08214439451694489, Val Accuracy: 99.4668197631836
Epoch 31, Loss: 1.8547970056533813, Accuracy: 99.4613037109375, Val Loss: 0.08211388438940048, Val Accuracy: 99.46691131591797
Epoch 32, Loss: 1.8545472621917725, Accuracy: 99.46136474609375, Val Loss: 0.0821094810962677, Val Accuracy: 99.46697235107422
Epoch 33, Loss: 1.8544400930404663, Accuracy: 99.46138000488281, Val Loss: 0.08210660517215729, Val Accuracy: 99.46700286865234
Epoch 34, Loss: 1.8546043634414673, Accuracy: 99.46142578125, Val Loss: 0.08213485032320023, Val Accuracy: 99.46702575683594
Epoch 35, Loss: 1.854325294494629, Accuracy: 99.46144104003906, Val Loss: 0.08213619142770767, Val Accuracy: 99.467041015625
Epoch 36, Loss: 1.8542073965072632, Accuracy: 99.46144104003906, Val Loss: 0.08211030066013336, Val Accuracy: 99.46705627441406
Epoch 37, Loss: 1.854596734046936, Accuracy: 99.46149444580078, Val Loss: 0.08210773020982742, Val Accuracy: 99.46710205078125
Epoch 38, Loss: 1.8546230792999268, Accuracy: 99.46151733398438, Val Loss: 0.08210714161396027, Val Accuracy: 99.46710205078125
Epoch 39, Loss: 1.8540540933609009, Accuracy: 99.46154022216797, Val Loss: 0.08210967481136322, Val Accuracy: 99.46710205078125
Epoch 40, Loss: 1.8538939952850342, Accuracy: 99.46155548095703, Val Loss: 0.08212380111217499, Val Accuracy: 99.46711730957031
Epoch 41, Loss: 1.8544355630874634, Accuracy: 99.4615707397461, Val Loss: 0.08211113512516022, Val Accuracy: 99.46714782714844
Epoch 42, Loss: 1.8537604808807373, Accuracy: 99.4615707397461, Val Loss: 0.08211049437522888, Val Accuracy: 99.46713256835938
Epoch 43, Loss: 1.8538480997085571, Accuracy: 99.46159362792969, Val Loss: 0.08210702240467072, Val Accuracy: 99.4671630859375
Epoch 44, Loss: 1.8537477254867554, Accuracy: 99.46159362792969, Val Loss: 0.0821051076054573, Val Accuracy: 99.46717834472656
Epoch 45, Loss: 1.8536481857299805, Accuracy: 99.46159362792969, Val Loss: 0.08210335671901703, Val Accuracy: 99.46717834472656
Epoch 46, Loss: 1.8534917831420898, Accuracy: 99.46159362792969, Val Loss: 0.08209619671106339, Val Accuracy: 99.46719360351562
Epoch 47, Loss: 1.8533897399902344, Accuracy: 99.46161651611328, Val Loss: 0.08209474384784698, Val Accuracy: 99.46719360351562
Epoch 48, Loss: 1.8533847332000732, Accuracy: 99.46163177490234, Val Loss: 0.08209479600191116, Val Accuracy: 99.46720123291016
Epoch 49, Loss: 1.8533051013946533, Accuracy: 99.46163177490234, Val Loss: 0.08209415525197983, Val Accuracy: 99.46720123291016
Epoch 50, Loss: 1.8532640933990479, Accuracy: 99.46163177490234, Val Loss: 0.08209218829870224, Val Accuracy: 99.46720886230469
Epoch 51, Loss: 1.8534271717071533, Accuracy: 99.46163177490234, Val Loss: 0.08210594952106476, Val Accuracy: 99.46720886230469
Epoch 52, Loss: 1.8534746170043945, Accuracy: 99.46165466308594, Val Loss: 0.08210501074790955, Val Accuracy: 99.46723175048828
Epoch 53, Loss: 1.8533241748809814, Accuracy: 99.46165466308594, Val Loss: 0.08210183680057526, Val Accuracy: 99.46723175048828
Epoch 54, Loss: 1.8532689809799194, Accuracy: 99.46165466308594, Val Loss: 0.08210072666406631, Val Accuracy: 99.46723175048828
Epoch 55, Loss: 1.8532975912094116, Accuracy: 99.46165466308594, Val Loss: 0.08210314810276031, Val Accuracy: 99.46723175048828
Epoch 56, Loss: 1.8530817031860352, Accuracy: 99.46165466308594, Val Loss: 0.08209948986768723, Val Accuracy: 99.46723175048828
